Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type,Issue Type
Bug,TM-72,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:36,07-08-2023 17:15,
Bug,TM-71,User unable to see Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:36,07-08-2023 17:20,
Bug,TM-70,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,10-07-2023 16:36,23-09-2023 16:03,
Bug,TM-69," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:35,07-08-2023 12:11,
Bug,TM-68,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:35,07-08-2023 17:18,
Bug,TM-67,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:28,07-08-2023 11:19,
Bug,TM-66,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:28,07-08-2023 11:19,
Bug,TM-64,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-63," Disable ""+"" icon issue When ""No"" Radio Button is selected",Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-62,Save Button is missing,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:27,07-08-2023 11:19,
Bug,TM-61,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,10-07-2023 16:26,02-09-2023 12:21,
Bug,TM-60,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,10-07-2023 12:17,23-09-2023 14:29,
Bug,TM-59,Incomplete data displayed on screen,Aakash,Siddharth Singh,High,Done,Done,08-07-2023 15:29,18-09-2023 17:08,
Bug,TM-58,"""Start date of work"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,08-07-2023 15:29,18-09-2023 17:04,
Bug,TM-57,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 15:29,23-09-2023 14:53,
Bug,TM-56,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,To Do,,08-07-2023 15:28,11-09-2023 10:49,
Bug,TM-55,User encounters a Grammatical Issue,Aakash,Siddharth Singh,Low,To Do,,08-07-2023 15:28,05-09-2023 16:58,
Bug,TM-54,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 15:28,23-09-2023 14:48,
Bug,TM-53,User encounters a Language issue in Dropdown menu,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 15:26,01-09-2023 14:38,
Bug,TM-51,User encounters a Blank Screen issue,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 10:48,01-09-2023 16:28,
Bug,TM-50,User can enter English text in an Arabic text field,Aakash,Siddharth Singh,Medium,Verified,Done,08-07-2023 10:48,01-09-2023 16:25,
Bug,TM-49,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,08-07-2023 10:47,18-09-2023 15:40,
Bug,TM-48,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,08-07-2023 10:47,23-09-2023 14:55,
Bug,TM-47,"""Date of Birth"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,08-07-2023 10:46,18-09-2023 15:40,
Bug,TM-46,"User encounters an inaccurate Error message (Nationality, DOB)",Aakash,Siddharth Singh,Low,Done,Done,08-07-2023 10:46,23-09-2023 14:53,
Bug,TM-45,User encounters a Language issue in Toast message,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:44,04-09-2023 11:35,
Bug,TM-44,User can enter English text in an Arabic text field,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:44,01-09-2023 15:32,
Bug,TM-43,User can enter invalid characters in the Numeric field,Aakash,Siddharth Singh,High,Done,Done,07-07-2023 15:44,18-09-2023 15:22,
Bug,TM-42,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:43,23-09-2023 14:53,
Bug,TM-41,User can submit the form without entering mandatory field,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 15:43,01-09-2023 15:52,
Bug,TM-40,"""Date of Birth"" field displays Timestamp",Aakash,Siddharth Singh,High,Done,Done,07-07-2023 15:42,18-09-2023 15:21,
Bug,TM-39,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,07-07-2023 15:42,23-09-2023 15:31,
Bug,TM-37,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:14,23-09-2023 14:53,
Bug,TM-36,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 15:06,23-09-2023 14:55,
Bug,TM-35,User can enter invalid characters in the Text field,Aakash,Siddharth Singh,Medium,Done,Done,07-07-2023 14:08,23-09-2023 14:54,
Bug,TM-34,Spelling issue : Properity,Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 14:01,05-09-2023 16:19,
Bug,TM-33,"No spacing between words ""VisitedCountry"" ",Aakash,Siddharth Singh,Medium,Verified,Done,07-07-2023 13:01,05-09-2023 16:18,
Bug,TM-32,User encounters a Language issue in Dashboard Header,Aakash,Siddharth Singh,Medium,To Do,,05-07-2023 15:43,26-07-2023 10:13,
Bug,TM-31,User encounters a Language issue in Error message,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 15:19,11-09-2023 10:27,
Bug,TM-30,User encounters a Language issue within Sliding Carousel content,Aakash,Siddharth Singh,Medium,To Do,,05-07-2023 12:37,26-07-2023 10:13,
Bug,TM-28,PlaceHolder Text Issue,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 11:27,07-08-2023 11:43,
Bug,TM-27,Identified content is not being translated to the Arabic Language,Aakash,Siddharth Singh,Medium,Verified,Done,05-07-2023 10:01,04-09-2023 17:13,
Bug,TM-26,Data Truncation Issue,Aakash,Siddharth Singh,Medium,To Do,,01-07-2023 16:17,11-09-2023 10:21,
Bug,TM-25,“Home“ & “Dashboard” tab is not being translated to the Arabic Language,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 16:17,04-09-2023 17:14,
Bug,TM-24,Entire Login Pg. is scrollable,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 15:07,07-08-2023 11:43,
Bug,TM-21,User encounters an inaccurate Date-related information ,Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 11:33,02-09-2023 12:15,
Bug,TM-20,User encounters an inaccurate Error message,Aakash,Siddharth Singh,Low,Done,Done,01-07-2023 10:34,23-09-2023 13:36,
Bug,TM-19,"User encounters a Language issue in ""Required Jobs"" section",Aakash,Siddharth Singh,Medium,Verified,Done,01-07-2023 10:33,02-09-2023 11:37,
Bug,TM-18,User can enter text in  the Numeric field,Aakash,Siddharth Singh,Medium,Done,Done,01-07-2023 10:33,23-09-2023 13:09,
Bug,TM-17,Spelling issue: Ebadi,Aakash,Siddharth Singh,Low,Done,Done,30-06-2023 16:09,23-09-2023 13:10,
Bug,TM-16,"Word Replacement Issue: ""Christian"" & ""Muslim""",Aakash,Siddharth Singh,Low,Done,Done,30-06-2023 16:08,23-09-2023 13:10,
Bug,TM-15,"Spelling issue: Hindusim, Judasim",,Siddharth Singh,Low,Done,Done,30-06-2023 16:06,18-09-2023 17:57,
Bug,TM-13,Completion percentage is not updated with the progress,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:04,07-08-2023 11:47,
Bug,TM-12,Absence of the Emirates ID number within the user profile,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:03,07-08-2023 11:47,
Bug,TM-11,"Entire pg. of ""Access Request"" is scrollable.",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:02,07-08-2023 11:43,
Bug,TM-10,"""Login"" label within the login button is misaligned.",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 16:01,07-08-2023 11:43,
Bug,TM-7,"No space between words ""UAEPASS""",Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 15:55,07-08-2023 11:28,
Bug,TM-6,Overlapping issue of Checkbox icon & Checkbox Label,Aakash,Siddharth Singh,Medium,Verified,Done,30-06-2023 15:37,07-08-2023 11:27,
