Module,Screen,Issue,Steps to Reproduce,Priority,Severity,Evidence,Status,Retesting Remarks,Evidence,Status,Working On,Retesting Remarks,Retesting Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Smart Home,Blank Screen Issue: Screen becomes entirely blank when user taps on Home Cleaning,Categories >> Smart Home >> Home Cleaning,High,High,XRecorder_03082023_161507.mp4,looks good,Reopened,XRecorder_18082023_155244.mp4,Done,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Book Service,"Visibility Issue: In Dark Theme, ""Your Address"" field is not clearly visible",Categories >> Security >> Security Cameras >> Book Now,Medium,Low,IMG_20230804_162911.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Book Service,UI Issue: Infinite Box Length Increase with Long Text Entry,Categories >> AC Repair >> Split AC >>Book Now >> Description,Medium,Low,,,,,,,New Issue,IMG_20230918_102724.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Book Service,"Alignment Issue :  User encounters an alignment Issue in ""Subtotal"" & ""Discount"" field",Categories >> AC Repair >> Split AC >>Book Now >> Step 1 >> Step 2,Medium,Low,,,,,,,New Issue,IMG_20230918_102525.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IMG_20230918_102454.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookings,Cancel Booking,"Truncation Issue: Reasons for 'Cancel Booking' gets Truncated.
                            User needs to Scroll down to see all Reasons.",Bookings >> Pending >> Cancel Booking,Low,Low,Screenshot_2023-05-16-12-07-39.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookings,Cancel Booking,"Visibility Issue: In Dark Theme, Reasons for 'Cancel Booking' are not clearly visible",Bookings >> Pending >> Cancel Booking,Medium,Low,IMG_20230516_140700.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookings,Cancel Booking,UI Issue: Infinite Box Length Increase with Long Text Entry,Bookings >> Pending >> Cancel Booking >> Other Reason,Medium,Low,,,,,,,New Issue,IMG_20230918_102422.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookings,Bookings,UI Issue: Data is displayed beyond the boundaries of the box,Bookings,Medium,Low,IMG_20230804_162834.jpg,,"Reopened: There is an OverLapping of 'Pending'
                   & 'Package' Icon ",IMG_20230818_143934.jpg,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chat,Chat,Grammatical Issue: ''You didn't made any conversation yet',Chat,Low,Low,IMG_20230516_140441.jpg,Done,Comment: ''You didn't make any conversation yet',IMG_20230818_143749.jpg,Done,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard,Dashboard,Blank Screen Issue: Screen becomes entirely blank when user taps on Sliding Carousel,Dashboard >> Sliding Carousel,High,High,XRecorder_03082023_161611.mp4,looks working,Functionality Issue: Sliding Carousel not working,XRecorder_18082023_143840.mp4,"it's working (you have face issue because of here only single slider)
now i have added one more its working fine.",Ravindra,"Still only single slider 
is present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Operating System: Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Model: Realme 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device Type: Real Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,App Type: APK File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Screen Size: 6.22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Screen Resolution(Physical): 720 x 1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Screen Resolution(Logical): 360 x 760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device Pixel Ratio(DPR): 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aspect Ratio: 9:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
